시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명
B10,서울특별시교육청,7010061,경동고등학교,Kyungdong High School,고등학교,서울특별시,서울특별시교육청,공립,2870,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2353,www.kyungdong.hs.kr,남
B10,서울특별시교육청,7010386,경동고등학교부설방송통신고등학교,Air and Correspondence High School Attached to Kyungdong High School,방송통신고등학교,서울특별시,서울특별시교육청,공립,2870,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2077,http://kyungdong.cyber.hs.kr,남여공학
B10,서울특별시교육청,7010120,경문고등학교,Kyungmoon High School,고등학교,서울특별시,서울특별시교육청,사립,6995,서울특별시 동작구 동작대로 171,/ 경문고등학교 (동작동),02-535-1301,http://kyungmoon.hs.kr/,남
B10,서울특별시교육청,7010062,경복고등학교,Kyungbock High School,고등학교,서울특별시,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로28가길 9,/ 경복고등학교 (청운동/경복고등학교),02-397-5301,http://kyungbock.sen.hs.kr,남
B10,서울특별시교육청,7010387,경복고등학교부설방송통신고등학교,Open highschool affiliated with KYUNGBOCK,방송통신고등학교,서울특별시,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로28가길 9,(청운동),02-397-5470,http://www.cyber.hs.kr/user/index.do,남여공학
B10,서울특별시교육청,7010835,경복비즈니스고등학교,Kyungbok Business High School,고등학교,서울특별시,서울특별시교육청,사립,7589,서울특별시 강서구 화곡로 379,(등촌동),02-3661-3425,http://www.kbb.hs.kr,여
B10,서울특별시교육청,7010122,경복여자고등학교,Kyungbok Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,7589,서울특별시 강서구 화곡로63길 40,/ 경복여자고등학교 (등촌동),02-3661-1741,http://www.kb.hs.kr,여
B10,서울특별시교육청,7010124,경성고등학교,Gyeongseong High School,고등학교,서울특별시,서울특별시교육청,사립,3977,서울특별시 마포구 성미산로 111,/ 경성고등학교 (연남동),02-3140-1168,http://www.gyeongseong.hs.kr,남
B10,서울특별시교육청,7010125,경신고등학교,Kyungshin High School,고등학교,서울특별시,서울특별시교육청,사립,3067,서울특별시 종로구 혜화로 74,(혜화동/경신중고등학교),02-762-0393,http://kyungshin.hs.kr,남
B10,서울특별시교육청,7010563,경인고등학교,Kyeongin High School,고등학교,서울특별시,서울특별시교육청,공립,8275,서울특별시 구로구 경인로46길 31,/ 경인고등학교 (고척동),02-2618-3043,http://kyeongin.sen.hs.kr,남여공학
B10,서울특별시교육청,7010698,경일고등학교,Kyungil High School,고등학교,서울특별시,서울특별시교육청,공립,4779,서울특별시 성동구 성수일로 27,/ 경일고등학교 (성수동1가),070-5024-7000,http://kyungil.sen.hs.kr,남여공학
B10,서울특별시교육청,7010126,경희고등학교,Kyunghee High School,고등학교,서울특별시,서울특별시교육청,사립,2447,서울특별시 동대문구 경희대로 26,(회기동/ 경희고등학교),02-966-3782,http://www.kyungheeboy.hs.kr/,남
B10,서울특별시교육청,7010127,경희여자고등학교,Kyung Hee Girls’High School,고등학교,서울특별시,서울특별시교육청,사립,2447,서울특별시 동대문구 경희대로 26,/ 경희여자고등학교 (회기동),02-966-4560,www.kyunghee.hs.kr,여
B10,서울특별시교육청,7011312,계성고등학교,Gyeseong High School,고등학교,서울특별시,서울특별시교육청,사립,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),02-728-6100,gyeseong.sen.hs.kr,남여공학
B10,서울특별시교육청,7010797,고려대학교사범대학부속고등학교,Korea University High School,고등학교,서울특별시,서울특별시교육청,사립,2708,서울특별시 성북구 정릉로 161,/ 고려대학교사범대학부속고등학교 (정릉동),02-914-7483,http://koreahi.hs.kr,남
B10,서울특별시교육청,7011487,고명외식고등학교,Komyung Food Service High School,고등학교,서울특별시,서울특별시교육청,사립,2828,서울특별시 성북구 북악산로 870,(돈암동),02-928-8366,http://komyung.sen.hs.kr,남여공학
B10,서울특별시교육청,7010063,고척고등학교,Gocheok High School,고등학교,서울특별시,서울특별시교육청,공립,8239,서울특별시 구로구 중앙로15길 162,/ 고척고등학교 (고척동/ 고척고등학교),02-2616-9813,http://gocheok.sen.hs.kr,남여공학
B10,서울특별시교육청,7010064,공항고등학교,Konghang High School,고등학교,서울특별시,서울특별시교육청,공립,7597,서울특별시 강서구 방화대로34길 43,(마곡동/ 공항고등학교),02-2664-6874,http://www.konghang.hs.kr,남여공학
B10,서울특별시교육청,7010065,관악고등학교,kwanak high school,고등학교,서울특별시,서울특별시교육청,공립,7278,서울특별시 영등포구 영등포로6길 26,(양평동2가),02-2633-5954,http://kwan-ak.hs.kr,남여공학
B10,서울특별시교육청,7010066,광남고등학교,Gwangnam High School,고등학교,서울특별시,서울특별시교육청,공립,4973,서울특별시 광진구 아차산로70길 17-16,/ 광남고등학교 (광장동/ 광남고등학교),02-2204-8705,http://www.gwang-nam.hs.kr,남여공학
B10,서울특별시교육청,7010131,광문고등학교,Gwangmun High School,고등학교,서울특별시,서울특별시교육청,사립,5225,서울특별시 강동구 동남로 968,/ 광문고등학교 (고덕동),02-427-2870,http://gwangmun.sen.hs.kr,남여공학
B10,서울특별시교육청,7010132,광성고등학교,Kwangsung High School,고등학교,서울특별시,서울특별시교육청,사립,4097,서울특별시 마포구 신수로8길 20,(신수동),02-703-3457,http://kwangsung.sen.hs.kr,남
B10,서울특별시교육청,7010523,광성하늘빛학교,Gwangsung Hanulbit School,특수학교,서울특별시,서울특별시교육청,사립,5511,서울특별시 송파구 올림픽로 625,/ 광성하늘빛학교 (풍납동/광성교회),02-474-1004,www.hanulbit.sc.kr/,남여공학
B10,서울특별시교육청,7010133,광신고등학교,Kwangshin High School,고등학교,서울특별시,서울특별시교육청,사립,8847,서울특별시 관악구 광신길 141,(신림동/광신중고등학교),02-881-8532,http://www.kwangshin.hs.kr,남여공학
B10,서울특별시교육청,7011488,광신방송예술고등학교,KWANGSHIN BROADCASTING ARTS HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,사립,8847,서울특별시 관악구 광신길 141,(신림동/ 광신방송예술고등학교),02-881-8612,http://ksmedia.sen.hs.kr,남여공학
B10,서울특별시교육청,7010067,광양고등학교,Gwangyang High School,고등학교,서울특별시,서울특별시교육청,공립,5104,서울특별시 광진구 자양로3가길 31,(자양동),02-446-1435,http://www.gwangyang.hs.kr,남여공학
B10,서울특별시교육청,7010134,광영고등학교,Kwangyoung High School,고등학교,서울특별시,서울특별시교육청,사립,7909,서울특별시 양천구 남부순환로30길 17,(신월동/광영고등학교),02-2650-2300,http://www.ky.hs.kr,남
B10,서울특별시교육청,7010135,광영여자고등학교,Kwang-young Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,7909,서울특별시 양천구 남부순환로30길 17,/ 광영여자고등학교 (신월동),02-2697-5553,http://www.kyg.hs.kr,여
B10,서울특별시교육청,7010306,광운전자공업고등학교,Kwangwoon Electronic Technical High School,고등학교,서울특별시,서울특별시교육청,사립,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),02-918-7761,http://www.kwangwoon.hs.kr/,남
B10,서울특별시교육청,7010575,교남학교,Kyonam School,특수학교,서울특별시,서울특별시교육청,사립,7662,서울특별시 강서구 까치산로22길 38,/ 교남학교 (화곡동),02-2607-2456,http://kyonam.sc.kr,남여공학
B10,서울특별시교육청,7010068,구로고등학교,Guro High School,고등학교,서울특별시,서울특별시교육청,공립,8299,서울특별시 구로구 가마산로27길 45,/ 구로고등학교 (구로동),02-851-2065,http://guro.hs.kr,남여공학
B10,서울특별시교육청,7011111,구암고등학교,Guahm High School,고등학교,서울특별시,서울특별시교육청,공립,8723,서울특별시 관악구 성현로 57,(봉천동/구암고등학교),02-879-9823,http://www.guahm.hs.kr,남여공학
B10,서울특별시교육청,7010069,구일고등학교,Guil High School,고등학교,서울특별시,서울특별시교육청,공립,8324,서울특별시 구로구 구일로 90-51,(구로동),02-858-2549,http://www.guil.hs.kr,남여공학
B10,서울특별시교육청,7010827,구현고등학교,Guhyun High School,고등학교,서울특별시,서울특별시교육청,공립,8217,서울특별시 구로구 경인로53가길 17,(구로동),02-2628-8916,http://www.guhyun.hs.kr,남여공학
B10,서울특별시교육청,1371661,국립국악고등학교,Gukak National High School,고등학교,서울특별시,교육부,국립,6311,서울특별시 강남구 개포로22길 65,/ (개포동/ 국립국악고등학교) ,02-3460-0500,http://gugak.sen.hs.kr,남여공학
B10,서울특별시교육청,1371663,국립전통예술고등학교,NATIONAL HIGH SCHOOL OF TRADITIONAL KOREAN ARTS,고등학교,서울특별시,교육부,국립,8650,서울특별시 금천구 시흥대로38길 62,(시흥동),02-896-1094,http://kugak-am.hs.kr,남여공학
B10,서울특별시교육청,7010071,금옥여자고등학교,Geumok Girls High School,고등학교,서울특별시,서울특별시교육청,공립,8080,서울특별시 양천구 신정로 213,(신정동),02-2086-7502,http://www.geumok.hs.kr,여
B10,서울특별시교육청,7010072,금천고등학교,Geumcheon High School,고등학교,서울특별시,서울특별시교육청,공립,8650,서울특별시 금천구 시흥대로38길 26,(시흥동/금천고등학교),02-896-3181,http://Geumcheon.sen.hs.kr,남여공학
B10,서울특별시교육청,7011317,금천문화예술정보학교,GEUMCHEON SCHOOL OF ARTS & INFORMATION,각종학교(고),서울특별시,서울특별시교육청,공립,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),02-2039-9910,http://geumcheon.sc.kr/,남여공학
B10,서울특별시교육청,7011319,금호고등학교,GeumhoHighSchool,고등학교,서울특별시,서울특별시교육청,공립,4727,서울특별시 성동구 금호로 118,(금호동1가),02-2022-0800,http://geumho.sen.hs.kr,남여공학
B10,서울특별시교육청,7011096,꿈타래학교,/,각종학교(고),서울특별시,서울특별시교육청,공립,15188,서울특별시 관악구 신림로 67,(신림동/서울산업정보학교),070-6331-1972,http://www.dreamkey.sen.sc.kr/,남여공학
B10,서울특별시교육청,7010136,남강고등학교,Namkang High School,고등학교,서울특별시,서울특별시교육청,사립,8854,서울특별시 관악구 난곡로34길 80,(신림동),02-839-1701,http://www.namkang.hs.kr,남
B10,서울특별시교육청,7061151,남산국제유치원,Namsan International School,외국인학교,서울특별시,서울특별시교육청,사립,4597,서울특별시 중구 다산로8길 8-6,(신당동),02-2232-2451,http://nik.or.kr,남여공학
B10,서울특별시교육청,7010564,노원고등학교,Nowon High School,고등학교,서울특별시,서울특별시교육청,공립,1675,서울특별시 노원구 노원로 586,(상계동),02-937-0078,http://www.nowon.hs.kr,남여공학
B10,서울특별시교육청,7011302,누리학교,Nuri Special School,특수학교,서울특별시,서울특별시교육청,사립,6954,서울특별시 동작구 상도로 53,/ 누리학교 (대방동),02-824-3888,http://nuri.sen.sc.kr,남여공학
B10,서울특별시교육청,7010589,누원고등학교,Noowon High School,고등학교,서울특별시,서울특별시교육청,공립,1318,서울특별시 도봉구 마들로 849,/ 누원고등학교 (도봉동),02-3492-7595,http://www.noowon.hs.kr,남여공학
B10,서울특별시교육청,7010459,다니엘학교,Daniel School,특수학교,서울특별시,서울특별시교육청,사립,6796,서울특별시 서초구 헌릉로468길 21-16,(내곡동/다니엘학교),02-445-9435,daniel.sen.sc.kr,남여공학
B10,서울특별시교육청,7011489,단국대학교부속소프트웨어고등학교,Dankook University Software High School,고등학교,서울특별시,서울특별시교육청,사립,6278,서울특별시 강남구 도곡로64길 21,(대치동 1013),02-2116-0115,http://dankook.sen.hs.kr,남
B10,서울특별시교육청,7010137,단국대학교사범대학부속고등학교,DanKook University High School,고등학교,서울특별시,서울특별시교육청,사립,6278,서울특별시 강남구 도곡로64길 21,(대치동),02-2191-2600,http://www.dan-kook.hs.kr,남
B10,서울특별시교육청,7010073,당곡고등학교,Dang-gok High School,고등학교,서울특별시,서울특별시교육청,공립,8712,서울특별시 관악구 봉천로21길 108,/ 당곡고등학교 (봉천동),02-6717-5200,http://www.danggok.hs.kr,남여공학
B10,서울특별시교육청,7011301,대경상업고등학교,Daekyeong Commercial High School,고등학교,서울특별시,서울특별시교육청,사립,4592,서울특별시 중구 매봉18길 111,(신당동),02-2235-5155,http://www.daekyeong.hs.kr,남여공학
B10,서울특별시교육청,7010138,대광고등학교,Daegwang High School,고등학교,서울특별시,서울특별시교육청,사립,2581,서울특별시 동대문구 안암로 6,/ 대광고등학교 (신설동),02-940-2202,http://www.dgh.hs.kr,남
B10,서울특별시교육청,7010833,대동세무고등학교,Daedong Taxation High School,고등학교,서울특별시,서울특별시교육청,사립,3057,서울특별시 종로구 계동길 84-10,(계동),02-763-1631,http://daedong.sen.hs.kr,남여공학
B10,서울특별시교육청,7010139,대성고등학교,Daesung High School,고등학교,서울특별시,서울특별시교육청,사립,3322,서울특별시 은평구 갈현로29길 51-24,/ 대성고등학교 (갈현동),02-6252-1000,http://dae-sung.sen.hs.kr,남
B10,서울특별시교육청,7010140,대신고등학교,Daeshin High School,고등학교,서울특별시,서울특별시교육청,사립,3029,서울특별시 종로구 사직로 9,(행촌동),02-736-0317,http://www.dae-shin.hs.kr/,남
B10,서울특별시교육청,7010074,대영고등학교,Daeyeong High School,고등학교,서울특별시,서울특별시교육청,공립,7397,서울특별시 영등포구 도림로86길 16,(신길동/ 대영고등학교),02-847-2019,http://www.dy.hs.kr,남여공학
B10,서울특별시교육청,7010141,대원고등학교,Daewon High School,고등학교,서울특별시,서울특별시교육청,사립,4939,서울특별시 광진구 용마산로22길 26,/ 대원고등학교 (중곡동),02-2204-1569,http://daewon-seoul.hs.kr,남
B10,서울특별시교육청,7010142,대원여자고등학교,Daewon Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,4939,서울특별시 광진구 용마산로22길 26,(중곡동),02-2204-1620,http://www.dwg.hs.kr,여
B10,서울특별시교육청,7010143,대원외국어고등학교,Daewon Foreign Language High School,고등학교,서울특별시,서울특별시교육청,사립,4939,서울특별시 광진구 용마산로22길 26,(중곡동),02-2204-1530,http://www.dwfl.hs.kr/,남여공학
B10,서울특별시교육청,7010144,대일고등학교,Daeil High School,고등학교,서울특별시,서울특별시교육청,사립,7672,서울특별시 강서구 등촌로 105,(등촌동),070-4020-6400,https://daeil.sen.hs.kr/index.do,남
B10,서울특별시교육청,7011186,대일관광고등학교,Daeil Tourism High School,고등학교,서울특별시,서울특별시교육청,사립,8051,서울특별시 양천구 신정이펜1로 11,/ 대일관광고등학교 (신정동/ 대일관광고등학교),070-4377-8871,http://daeil-tour.sen.hs.kr,여
B10,서울특별시교육청,7010145,대일외국어고등학교,Daeil Foreign Language High School,고등학교,서울특별시,서울특별시교육청,사립,2713,서울특별시 성북구 서경로 116,(정릉동/대일외국어고등학교),02-940-1000,www.daeil.or.kr,남여공학
B10,서울특별시교육청,7010146,대진고등학교,Daejin High School,고등학교,서울특별시,서울특별시교육청,사립,1807,서울특별시 노원구 공릉로62가길 47,/ 대진고등학교 (하계동),02-976-0067,http://www.dae-jin.hs.kr,남
B10,서울특별시교육청,7010740,대진디자인고등학교,Daejin Design High School,고등학교,서울특별시,서울특별시교육청,사립,6352,서울특별시 강남구 광평로39길 93,(수서동/대진디자인고등학교),02-2226-8418,http://www.daejindesign.hs.kr,남여공학
B10,서울특별시교육청,7010147,대진여자고등학교,Daejin Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,1785,서울특별시 노원구 공릉로 438,/ 대진여자고등학교 (중계동),02-979-2327,http://www.daejinw.hs.kr,여
B10,서울특별시교육청,7010148,덕성여자고등학교,Duksung Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,3061,서울특별시 종로구 율곡로3길 50,/ 덕성여자고등학교 (안국동),02-734-6871,http://duksung.sen.hs.kr,여
B10,서울특별시교육청,7010808,덕수고등학교,Duksoo High School,고등학교,서울특별시,서울특별시교육청,공립,4764,서울특별시 성동구 왕십리로 199,(행당동),02-2292-5707,http://duksoo.sen.hs.kr,남여공학
B10,서울특별시교육청,7010149,덕원여자고등학교,Deokwon Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,7640,서울특별시 강서구 강서로45길 91-44,(내발산동/덕원여자고등학교),02-2660-7800,http://deokwon.sen.hs.kr,여
B10,서울특별시교육청,7010150,덕원예술고등학교,Deokwon Arts High School,고등학교,서울특별시,서울특별시교육청,사립,7640,서울특별시 강서구 강서로45길 91-44,/ 덕원예술고등학교 (내발산동),02-2660-7911,http://www.dwarts.hs.kr,남여공학
B10,서울특별시교육청,7010317,덕일전자공업고등학교,Deogil Electronic Technical High School,고등학교,서울특별시,서울특별시교육청,사립,8357,서울특별시 구로구 서해안로21길 5-12,(오류동),02-2613-2762,http://di.sen.hs.kr,남여공학
B10,서울특별시교육청,7011469,덜위치칼리지서울영국학교,Dulwich College Seoul British School,외국인학교,서울특별시,서울특별시교육청,사립,6504,서울특별시 서초구 신반포로15길 6,(반포동),02-3015-8500,http://www.dulwich-seoul.kr,남여공학
B10,서울특별시교육청,7010699,도봉고등학교,Dobong High School,고등학교,서울특별시,서울특별시교육청,공립,1302,서울특별시 도봉구 도봉산길 27,(도봉동/도봉고등학교),02-3491-4283,http://db2004.hs.kr,남여공학
B10,서울특별시교육청,7011318,도선고등학교,DOSUN HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,공립,4701,서울특별시 성동구 마장로 156,(하왕십리동),02-2292-8176,http://dosun.sen.hs.kr,남여공학
B10,서울특별시교육청,7010560,독산고등학교,Doksan High School,고등학교,서울특별시,서울특별시교육청,공립,8551,서울특별시 금천구 문성로 64,/ 독산고등학교 (독산동),02-857-6248,http://www.doksan.sen.hs.kr,남여공학
B10,서울특별시교육청,7011086,동구마케팅고등학교,DONGGOO MARKETING HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,사립,2834,서울특별시 성북구 성북로8길 71,/ 동구마케팅고등학교 (성북동),02-762-1301,donggoo.sen.hs.kr,여
B10,서울특별시교육청,7010151,동국대학교사범대학부속고등학교,High School Attached to College of Education Dongguk University,고등학교,서울특별시,서울특별시교육청,사립,2520,서울특별시 동대문구 장안벚꽃로 201,(장안동/동국대학교사범대학부속고등학교),02-6913-1511,http://ddbk.sen.hs.kr,남
B10,서울특별시교육청,7010746,동국대학교사범대학부속여자고등학교,Girls High School Attached To College Of Education/ Dongguk University,고등학교,서울특별시,서울특별시교육청,사립,5038,서울특별시 광진구 광나루로36길 47,/ 동국대부속여고 (구의동),02-2049-1577,http://donggukgirls.hs.kr,여
B10,서울특별시교육청,7010152,동덕여자고등학교,Dongduk Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,6700,서울특별시 서초구 효령로2길 123-5,/ 동덕여자고등학교 (방배동),02-586-5418,http://www.dongduk.hs.kr,여
B10,서울특별시교육청,7011490,동명생활경영고등학교,Dongmyung Career and Business High School,고등학교,서울특별시,서울특별시교육청,사립,3390,서울특별시 은평구 통일로 793,(대조동),02-383-2628,http://dmgcab.sen.hs.kr/,여
B10,서울특별시교육청,7010153,동명여자고등학교,Dongmyung Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,3390,서울특별시 은평구 통일로 793,(대조동/동명여자고등학교),02-385-0652,http://dongmyung.sen.hs.kr,여
B10,서울특별시교육청,7010154,동북고등학교,Dongbuk High School,고등학교,서울특별시,서울특별시교육청,사립,5412,서울특별시 강동구 강동대로 305,(둔촌동),02-477-2280,http://dongbuk.hs.kr,남
B10,서울특별시교육청,7010155,동성고등학교,Dongsung High School,고등학교,서울특별시,서울특별시교육청,사립,3083,서울특별시 종로구 대학로 156,(혜화동/동성중고교),02-3671-9100,http://www.dongsung.hs.kr,남
B10,서울특별시교육청,7010965,동양고등학교,Dongyang High School,고등학교,서울특별시,서울특별시교육청,사립,7529,서울특별시 강서구 허준로 50,(가양동/동양고등학교),02-2657-0800,http://www.dongyang.hs.kr,남
B10,서울특별시교육청,7010156,동일여자고등학교,Dong-il Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,8656,서울특별시 금천구 탑골로10길 45,(시흥동/ 동일여자고등학교),02-803-9806,http://www.dongilg.hs.kr,여
B10,서울특별시교육청,7011185,동일여자상업고등학교,Dong-il Girls’ Commercial High School,고등학교,서울특별시,서울특별시교육청,사립,8656,서울특별시 금천구 탑골로10길 45,(시흥동),02-807-6333,http://www.dongil-cd.hs.kr,여
B10,서울특별시교육청,7010075,동작고등학교,Dongjak High School,고등학교,서울특별시,서울특별시교육청,공립,7031,서울특별시 동작구 솔밭로 51,(사당동/동작고등학교(복합정보센타)),02-588-4197,http://www.dongjak.hs.kr,남여공학
B10,서울특별시교육청,7010076,둔촌고등학교,Doonchon High School,고등학교,서울특별시,서울특별시교육청,공립,5367,서울특별시 강동구 명일로 140,(둔촌동/둔촌고등학교),02-485-9873,https://doonchon.sen.hs.kr/,남여공학
B10,서울특별시교육청,7010700,등촌고등학교,Deung Chon High School,고등학교,서울특별시,서울특별시교육청,공립,7580,서울특별시 강서구 공항대로39길 115,/ 등촌고등학교 (등촌동),02-3665-6045,http://www.dch.hs.kr,남여공학
B10,서울특별시교육청,7010908,리라아트고등학교,Lila Art High School,고등학교,서울특별시,서울특별시교육청,사립,4628,서울특별시 중구 소파로2길 ,/ 24 (예장동/리라아트고등학교),02-775-6541,http://www.lila.hs.kr,남여공학
B10,서울특별시교육청,7010157,마포고등학교,Mapo High School,고등학교,서울특별시,서울특별시교육청,사립,7576,서울특별시 강서구 화곡로 403,(등촌동/마포고등학교),02-3663-2583,http://www.mapo.hs.kr,남
B10,서울특별시교육청,7010077,면목고등학교,Myeonmok High School,고등학교,서울특별시,서울특별시교육청,공립,2193,서울특별시 중랑구 용마산로72길 36-14,(면목동/면목고등학교),02-435-0002,http://mmhs.sen.hs.kr,남
B10,서울특별시교육청,7010158,명덕고등학교,Myungduk High School,고등학교,서울특별시,서울특별시교육청,사립,7633,서울특별시 강서구 강서로47길 34-10,(내발산동/명덕고등학교),02-2664-8817,http://myungduk.sen.hs.kr,남
B10,서울특별시교육청,7010159,명덕여자고등학교,Myungduk Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,7633,서울특별시 강서구 강서로47길 34-10,(내발산동),02-2664-8815,mdgh.sen.hs.kr,여
B10,서울특별시교육청,7010160,명덕외국어고등학교,Myungduk Foreign Language High School,고등학교,서울특별시,서울특별시교육청,사립,7633,서울특별시 강서구 강서로47길 34-10,/ 명덕외국어고등학교 (내발산동/명덕고등학교),02-2665-8821,http://www.mdfh.or.kr,남여공학
B10,서울특별시교육청,7010078,명일여자고등학교,Myungil Girls’ High School,고등학교,서울특별시,서울특별시교육청,공립,5268,서울특별시 강동구 명일로 350,(명일동/명일여자고등학교),02-481-8192,http://www.myungil.hs.kr,여
B10,서울특별시교육청,7010163,명지고등학교,Myongji High School,고등학교,서울특별시,서울특별시교육청,사립,3656,서울특별시 서대문구 명지2길 56,/ 명지고등학교 (홍은동),02-303-1540,http://www.myongjigo.net/,남여공학
B10,서울특별시교육청,7010744,목동고등학교,Mokdong High School,고등학교,서울특별시,서울특별시교육청,사립,8099,서울특별시 양천구 목동동로2길 68,/ 목동고등학교 (신정동),02-2652-1701,https://mokdong.sen.hs.kr/,여
B10,서울특별시교육청,7010079,무학여자고등학교,Muhak Girls’ High School,고등학교,서울특별시,서울특별시교육청,공립,4716,서울특별시 성동구 고산자로 197,무학여자고등학교,02-2200-1724,http://www.muhak.hs.kr,여
B10,서울특별시교육청,7010166,문일고등학교,Moonil High School,고등학교,서울특별시,서울특별시교육청,사립,8634,서울특별시 금천구 시흥대로47길 45,(시흥동),02-802-2301,http://moonil.hs.kr,남
B10,서울특별시교육청,7010701,문정고등학교,Munjeong High School,고등학교,서울특별시,서울특별시교육청,공립,5809,서울특별시 송파구 송이로34길 62,(문정동/문정고등학교),02-406-0061,http://mj.hs.kr,남여공학
B10,서울특별시교육청,7010959,문현고등학교,MUNHYEON HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,공립,5811,서울특별시 송파구 충민로 115,(장지동),02-6951-8702,http://munhyeon.sen.hs.kr,남여공학
